innings,Batsman,Runs,Balls,Minutes,fours,sixes,SR,out,id
Pakistan,Imam-ul-Haq,17,22,44,2,0,77.27,c Naveen-ul-Haq b Azmatullah Omarzai,4679
Pakistan,Babar Azam,74,92,121,4,1,80.43,c Mohammad Nabi b Noor Ahmad,4679
Pakistan,Mohammad Rizwan,8,10,8,0,1,80.00,c Mujeeb Ur Rahman b Noor Ahmad,4679
Pakistan,Saud Shakeel,25,34,35,3,0,73.52,c Rashid Khan b Mohammad Nabi,4679
Pakistan,Shadab Khan,40,38,75,1,1,105.26,c Mohammad Nabi b Naveen-ul-Haq,4679
Pakistan,Iftikhar Ahmed,40,27,40,2,4,148.14,c Azmatullah Omarzai b Naveen-ul-Haq,4679
Pakistan,Shaheen Shah Afridi,3,3,4,0,0,100.00,null,4679
Afghanistan,Rahmanullah Gurbaz,65,53,91,9,1,122.64,c Usama Mir b Shaheen Shah Afridi,4679
Afghanistan,Ibrahim Zadran,87,113,146,10,0,76.99,c †Mohammad Rizwan b Hasan Ali,4679
Afghanistan,Rahmat Shah,77,84,129,5,2,91.66,null,4679
Afghanistan,Hashmatullah Shahidi,48,45,74,4,0,106.66,null,4679
New Zealand,Devon Conway,0,9,16,0,0,0.00,c Iyer b Mohammed Siraj,4678
New Zealand,Will Young,17,27,41,3,0,62.96, b Mohammed Shami,4678
New Zealand,Rachin Ravindra,75,87,133,6,1,86.20,c Shubman Gill b Mohammed Shami,4678
New Zealand,Daryl Mitchell,130,127,192,9,5,102.36,c Kohli b Mohammed Shami,4678
New Zealand,Tom Latham,5,7,16,1,0,71.42,lbw b Kuldeep Yadav,4678
New Zealand,Glenn Phillips,23,26,36,0,1,88.46,c Sharma b Kuldeep Yadav,4678
New Zealand,Mark Chapman,6,8,11,0,0,75.00,c Kohli b Bumrah,4678
New Zealand,Mitchell Santner,1,2,3,0,0,50.00, b Mohammed Shami,4678
New Zealand,Matt Henry,0,1,1,0,0,0.00, b Mohammed Shami,4678
New Zealand,Lockie Ferguson,1,5,12,0,0,20.00,run out (†Rahul),4678
New Zealand,Trent Boult,0,1,1,0,0,0.00,null,4678
India,Rohit Sharma,46,40,44,4,4,115.00, b Ferguson,4678
India,Shubman Gill,26,31,53,5,0,83.87,c Mitchell b Ferguson,4678
India,Virat Kohli,95,104,154,8,2,91.34,c Phillips b Henry,4678
India,Shreyas Iyer,33,29,32,6,0,113.79,c Conway b Boult,4678
India,KL Rahul,27,35,43,3,0,77.14,lbw b Santner,4678
India,Suryakumar Yadav,2,4,8,0,0,50.00,run out (Santner/Boult/†Latham),4678
India,Ravindra Jadeja,39,44,63,3,1,88.63,null,4678
India,Mohammed Shami,1,1,2,0,0,100.00,null,4678
South Africa,Quinton de Kock,4,2,3,1,0,200.00,c †Buttler b Topley,4677
South Africa,Reeza Hendricks,85,75,111,9,3,113.33, b Rashid,4677
South Africa,Rassie van der Dussen,60,61,86,8,0,98.36,c Bairstow b Rashid,4677
South Africa,Aiden Markram,42,44,63,4,0,95.45,c Bairstow b Topley,4677
South Africa,Heinrich Klaasen,109,67,119,12,4,162.68, b Atkinson,4677
South Africa,David Miller,5,6,7,1,0,83.33,c Stokes b Topley,4677
South Africa,Marco Jansen,75,42,72,3,6,178.57,null,4677
South Africa,Gerald Coetzee,3,3,2,0,0,100.00,c sub (LS Livingstone) b Atkinson,4677
South Africa,Keshav Maharaj,1,1,1,0,0,100.00,null,4677
England,Jonny Bairstow,10,12,13,1,1,83.33,c van der Dussen b Ngidi,4677
England,Dawid Malan,6,11,30,1,0,54.54,c †de Kock b Jansen,4677
England,Joe Root,2,6,9,0,0,33.33,c Miller b Jansen,4677
England,Ben Stokes,5,8,20,1,0,62.50,c & b Rabada,4677
England,Harry Brook,17,25,33,2,1,68.00,lbw b Coetzee,4677
England,Jos Buttler,15,7,14,2,1,214.28,c †de Kock b Coetzee,4677
England,David Willey,12,12,24,1,1,100.00,c Rabada b Ngidi,4677
England,Adil Rashid,10,14,14,1,0,71.42,c Hendricks b Coetzee,4677
England,Gus Atkinson,35,21,31,7,0,166.66, b Maharaj,4677
England,Mark Wood,43,17,25,2,5,252.94,null,4677
England,Reece Topley,-,-,-,-,-,-,null,4677
Netherlands,Vikramjit Singh,4,13,17,1,0,30.76,lbw b Rajitha,4676
Netherlands,Max O'Dowd,16,27,50,1,1,59.25, b Rajitha,4676
Netherlands,Colin Ackermann,29,31,42,5,0,93.54,c †Mendis b Rajitha,4676
Netherlands,Bas de Leede,6,21,33,0,0,28.57,c Perera b Madushanka,4676
Netherlands,Teja Nidamanuru,9,16,32,0,0,56.25,lbw b Madushanka,4676
Netherlands,Scott Edwards,16,16,22,0,0,100.00, b Theekshana,4676
Netherlands,Sybrand Engelbrecht,70,82,100,4,1,85.36, b Madushanka,4676
Netherlands,Logan van Beek,59,75,108,1,1,78.66,c Asalanka b Rajitha,4676
Netherlands,Roelof van der Merwe,7,7,12,0,0,100.00,c †Mendis b Madushanka,4676
Netherlands,Aryan Dutt,9,6,14,1,0,150.00,null,4676
Netherlands,Paul van Meekeren,4,5,6,0,0,80.00,run out (†Mendis/Madushanka),4676
Sri Lanka,Pathum Nissanka,54,52,69,9,0,103.84,c †Edwards b van Meekeren,4676
Sri Lanka,Kusal Perera,5,8,17,1,0,62.50,c de Leede b Dutt,4676
Sri Lanka,Kusal Mendis,11,17,22,2,0,64.70,c van Meekeren b Dutt,4676
Sri Lanka,Sadeera Samarawickrama,91,107,168,7,0,85.04,null,4676
Sri Lanka,Charith Asalanka,44,66,70,2,1,66.66, b Dutt,4676
Sri Lanka,Dhananjaya de Silva,30,37,57,1,2,81.08, b Ackermann,4676
Sri Lanka,Dushan Hemantha,4,3,7,1,0,133.33,null,4676
Australia,David Warner,163,124,180,14,9,131.45,c sub (Shadab Khan) b Haris Rauf,4675
Australia,Mitchell Marsh,121,108,139,10,9,112.03,c Usama Mir b Shaheen Shah Afridi,4675
Australia,Glenn Maxwell,0,1,1,0,0,0.00,c Babar Azam b Shaheen Shah Afridi,4675
Australia,Steven Smith,7,9,17,0,0,77.77,c & b Usama Mir,4675
Australia,Marcus Stoinis,21,24,46,1,1,87.50,lbw b Shaheen Shah Afridi,4675
Australia,Josh Inglis,13,9,10,3,0,144.44,c †Mohammad Rizwan b Haris Rauf,4675
Australia,Marnus Labuschagne,8,12,23,1,0,66.66,c sub (Shadab Khan) b Haris Rauf,4675
Australia,Pat Cummins,6,8,17,0,0,75.00,null,4675
Australia,Mitchell Starc,2,3,3,0,0,66.66,c Saud Shakeel b Shaheen Shah Afridi,4675
Australia,Josh Hazlewood,0,1,1,0,0,0.00,c †Mohammad Rizwan b Shaheen Shah Afridi,4675
Australia,Adam Zampa,1,1,4,0,0,100.00,null,4675
Pakistan,Abdullah Shafique,64,61,93,7,2,104.91,c Maxwell b Stoinis,4675
Pakistan,Imam-ul-Haq,70,71,107,10,0,98.59,c Starc b Stoinis,4675
Pakistan,Babar Azam,18,14,27,3,0,128.57,c Cummins b Zampa,4675
Pakistan,Mohammad Rizwan,46,40,84,5,0,115.00,lbw b Zampa,4675
Pakistan,Saud Shakeel,30,31,37,5,0,96.77,c Stoinis b Cummins,4675
Pakistan,Iftikhar Ahmed,26,20,22,0,3,130.00,lbw b Zampa,4675
Pakistan,Mohammad Nawaz,14,16,19,0,1,87.50,st †Inglis b Zampa,4675
Pakistan,Usama Mir,0,3,4,0,0,0.00,c Starc b Hazlewood,4675
Pakistan,Shaheen Shah Afridi,10,8,17,2,0,125.00,c Labuschagne b Cummins,4675
Pakistan,Hasan Ali,8,8,7,2,0,100.00,c †Inglis b Starc,4675
Pakistan,Haris Rauf,0,1,3,0,0,0.00,null,4675
Bangladesh,Tanzid Hasan,51,43,75,5,3,118.60,lbw b Kuldeep Yadav,4674
Bangladesh,Litton Das,66,82,124,7,0,80.48,c Shubman Gill b Jadeja,4674
Bangladesh,Najmul Hossain Shanto,8,17,18,0,0,47.05,lbw b Jadeja,4674
Bangladesh,Mehidy Hasan Miraz,3,13,15,0,0,23.07,c †Rahul b Mohammed Siraj,4674
Bangladesh,Towhid Hridoy,16,35,54,0,0,45.71,c Shubman Gill b Thakur,4674
Bangladesh,Mushfiqur Rahim,38,46,60,1,1,82.60,c Jadeja b Bumrah,4674
Bangladesh,Mahmudullah,46,36,60,3,3,127.77, b Bumrah,4674
Bangladesh,Nasum Ahmed,14,18,21,2,0,77.77,c †Rahul b Mohammed Siraj,4674
Bangladesh,Mustafizur Rahman,1,7,19,0,0,14.28,null,4674
Bangladesh,Shoriful Islam,7,3,2,0,1,233.33,null,4674
India,Rohit Sharma,48,40,51,7,2,120.00,c Towhid Hridoy b Hasan Mahmud,4674
India,Shubman Gill,53,55,80,5,2,96.36,c Mahmudullah b Mehidy Hasan Miraz,4674
India,Virat Kohli,103,97,113,6,4,106.18,null,4674
India,Shreyas Iyer,19,25,38,2,0,76.00,c Mahmudullah b Mehidy Hasan Miraz,4674
India,KL Rahul,34,34,44,3,1,100.00,null,4674
New Zealand,Devon Conway,20,18,27,3,0,111.11,lbw b Mujeeb Ur Rahman,4673
New Zealand,Will Young,54,64,98,4,3,84.37,c †Ikram Alikhil b Azmatullah Omarzai,4673
New Zealand,Rachin Ravindra,32,41,64,2,1,78.04, b Azmatullah Omarzai,4673
New Zealand,Daryl Mitchell,1,7,6,0,0,14.28,c Ibrahim Zadran b Rashid Khan,4673
New Zealand,Tom Latham,68,74,114,3,2,91.89, b Naveen-ul-Haq,4673
New Zealand,Glenn Phillips,71,80,109,4,4,88.75,c Rashid Khan b Naveen-ul-Haq,4673
New Zealand,Mark Chapman,25,12,15,2,1,208.33,null,4673
New Zealand,Mitchell Santner,7,5,13,1,0,140.00,null,4673
Afghanistan,Rahmanullah Gurbaz,11,21,24,0,1,52.38, b Henry,4673
Afghanistan,Ibrahim Zadran,14,15,27,2,0,93.33,c Santner b Boult,4673
Afghanistan,Rahmat Shah,36,62,86,1,0,58.06,c & b Ravindra,4673
Afghanistan,Hashmatullah Shahidi,8,29,30,1,0,27.58,c Santner b Ferguson,4673
Afghanistan,Azmatullah Omarzai,27,32,39,2,0,84.37,c †Latham b Boult,4673
Afghanistan,Ikram Alikhil,19,21,42,3,0,90.47,null,4673
Afghanistan,Mohammad Nabi,7,9,10,1,0,77.77, b Santner,4673
Afghanistan,Rashid Khan,8,13,10,0,1,61.53,c Mitchell b Ferguson,4673
Afghanistan,Mujeeb Ur Rahman,4,3,2,1,0,133.33,c Young b Ferguson,4673
Afghanistan,Naveen-ul-Haq,0,1,1,0,0,0.00,c Chapman b Santner,4673
Afghanistan,Fazalhaq Farooqi,0,2,1,0,0,0.00,c Mitchell b Santner,4673
Netherlands,Vikramjit Singh,2,16,28,0,0,12.50,c Klaasen b Rabada,4672
Netherlands,Max O'Dowd,18,25,33,4,0,72.00,c †de Kock b Jansen,4672
Netherlands,Colin Ackermann,12,25,40,1,0,48.00, b Coetzee,4672
Netherlands,Bas de Leede,2,7,16,0,0,28.57,lbw b Rabada,4672
Netherlands,Sybrand Engelbrecht,19,37,41,1,1,51.35,c Jansen b Ngidi,4672
Netherlands,Teja Nidamanuru,20,25,56,3,0,80.00,lbw b Jansen,4672
Netherlands,Scott Edwards,78,69,102,10,1,113.04,null,4672
Netherlands,Logan van Beek,10,27,22,1,0,37.03,st †de Kock b Maharaj,4672
Netherlands,Roelof van der Merwe,29,19,30,3,1,152.63,c †de Kock b Ngidi,4672
Netherlands,Aryan Dutt,23,9,14,0,3,255.55,null,4672
South Africa,Temba Bavuma,16,31,35,2,1,51.61, b van der Merwe,4672
South Africa,Quinton de Kock,20,22,28,3,0,90.90,c †Edwards b Ackermann,4672
South Africa,Rassie van der Dussen,4,7,16,0,0,57.14,c Dutt b van der Merwe,4672
South Africa,Aiden Markram,1,3,4,0,0,33.33, b van Meekeren,4672
South Africa,Heinrich Klaasen,28,28,36,4,0,100.00,c Vikramjit Singh b van Beek,4672
South Africa,David Miller,43,52,81,4,1,82.69, b van Beek,4672
South Africa,Marco Jansen,9,25,22,0,0,36.00, b van Meekeren,4672
South Africa,Gerald Coetzee,22,23,33,2,1,95.65,c †Edwards b de Leede,4672
South Africa,Keshav Maharaj,40,37,54,5,1,108.10,c †Edwards b van Beek,4672
South Africa,Kagiso Rabada,9,6,9,0,1,150.00,c Engelbrecht b de Leede,4672
South Africa,Lungi Ngidi,7,24,35,0,0,29.16,null,4672
Sri Lanka,Pathum Nissanka,61,67,103,8,0,91.04,c Warner b Cummins,4671
Sri Lanka,Kusal Perera,78,82,123,12,0,95.12, b Cummins,4671
Sri Lanka,Kusal Mendis,9,13,27,0,0,69.23,c Warner b Zampa,4671
Sri Lanka,Sadeera Samarawickrama,8,8,15,1,0,100.00,lbw b Zampa,4671
Sri Lanka,Charith Asalanka,25,39,75,0,1,64.10,c Labuschagne b Maxwell,4671
Sri Lanka,Dhananjaya de Silva,7,13,13,1,0,53.84, b Starc,4671
Sri Lanka,Dunith Wellalage,2,9,9,0,0,22.22,run out (Cummins),4671
Sri Lanka,Chamika Karunaratne,2,11,12,0,0,18.18,lbw b Zampa,4671
Sri Lanka,Maheesh Theekshana,0,5,7,0,0,0.00,lbw b Zampa,4671
Sri Lanka,Lahiru Kumara,4,8,6,1,0,50.00, b Starc,4671
Sri Lanka,Dilshan Madushanka,0,6,12,0,0,0.00,null,4671
Australia,Mitchell Marsh,52,51,67,9,0,101.96,run out (Karunaratne/†Mendis),4671
Australia,David Warner,11,6,16,0,1,183.33,lbw b Madushanka,4671
Australia,Steven Smith,0,5,4,0,0,0.00,lbw b Madushanka,4671
Australia,Marnus Labuschagne,40,60,100,2,0,66.66,c Karunaratne b Madushanka,4671
Australia,Josh Inglis,58,59,75,5,1,98.30,c Theekshana b Wellalage,4671
Australia,Glenn Maxwell,31,21,30,4,2,147.61,null,4671
Australia,Marcus Stoinis,20,10,10,2,1,200.00,null,4671
Afghanistan,Rahmanullah Gurbaz,80,57,87,8,4,140.35,run out (sub [DJ Willey]/†Buttler),4670
Afghanistan,Ibrahim Zadran,28,48,73,3,0,58.33,c Root b Rashid,4670
Afghanistan,Rahmat Shah,3,8,10,0,0,37.50,st †Buttler b Rashid,4670
Afghanistan,Hashmatullah Shahidi,14,36,46,0,0,38.88, b Root,4670
Afghanistan,Azmatullah Omarzai,19,24,25,1,1,79.16,c Woakes b Livingstone,4670
Afghanistan,Ikram Alikhil,58,66,92,3,2,87.87,c Curran b Topley,4670
Afghanistan,Mohammad Nabi,9,15,14,1,0,60.00,c Root b Wood,4670
Afghanistan,Rashid Khan,23,22,37,3,0,104.54,c Root b Rashid,4670
Afghanistan,Mujeeb Ur Rahman,28,16,22,3,1,175.00,c Root b Wood,4670
Afghanistan,Naveen-ul-Haq,5,6,9,1,0,83.33,run out (†Buttler),4670
Afghanistan,Fazalhaq Farooqi,2,4,7,0,0,50.00,null,4670
England,Jonny Bairstow,2,4,5,0,0,50.00,lbw b Fazalhaq Farooqi,4670
England,Dawid Malan,32,39,61,4,0,82.05,c Ibrahim Zadran b Mohammad Nabi,4670
England,Joe Root,11,17,23,2,0,64.70, b Mujeeb Ur Rahman,4670
England,Harry Brook,66,61,123,7,1,108.19,c †Ikram Alikhil b Mujeeb Ur Rahman,4670
England,Jos Buttler,9,18,21,1,0,50.00, b Naveen-ul-Haq,4670
England,Liam Livingstone,10,14,15,1,0,71.42,lbw b Rashid Khan,4670
England,Sam Curran,10,23,22,0,0,43.47,c Rahmat Shah b Mohammad Nabi,4670
England,Chris Woakes,9,26,21,1,0,34.61, b Mujeeb Ur Rahman,4670
England,Adil Rashid,20,13,24,2,0,153.84,c Mohammad Nabi b Rashid Khan,4670
England,Mark Wood,18,22,26,3,0,81.81, b Rashid Khan,4670
England,Reece Topley,15,7,8,3,0,214.28,null,4670
Pakistan,Abdullah Shafique,20,24,39,3,0,83.33,lbw b Mohammed Siraj,4669
Pakistan,Imam-ul-Haq,36,38,64,6,0,94.73,c †Rahul b Pandya,4669
Pakistan,Babar Azam,50,58,89,7,0,86.20, b Mohammed Siraj,4669
Pakistan,Mohammad Rizwan,49,69,89,7,0,71.01, b Bumrah,4669
Pakistan,Saud Shakeel,6,10,12,0,0,60.00,lbw b Kuldeep Yadav,4669
Pakistan,Iftikhar Ahmed,4,4,2,1,0,100.00, b Kuldeep Yadav,4669
Pakistan,Shadab Khan,2,5,11,0,0,40.00, b Bumrah,4669
Pakistan,Mohammad Nawaz,4,14,25,0,0,28.57,c Bumrah b Pandya,4669
Pakistan,Hasan Ali,12,19,21,2,0,63.15,c Shubman Gill b Jadeja,4669
Pakistan,Shaheen Shah Afridi,2,10,12,0,0,20.00,null,4669
Pakistan,Haris Rauf,2,6,9,0,0,33.33,lbw b Jadeja,4669
India,Rohit Sharma,86,63,91,6,6,136.50,c Iftikhar Ahmed b Shaheen Shah Afridi,4669
India,Shubman Gill,16,11,11,4,0,145.45,c Shadab Khan b Shaheen Shah Afridi,4669
India,Virat Kohli,16,18,31,3,0,88.88,c Mohammad Nawaz b Hasan Ali,4669
India,Shreyas Iyer,53,62,80,3,2,85.48,null,4669
India,KL Rahul,19,29,33,2,0,65.51,null,4669
Bangladesh,Litton Das,0,1,1,0,0,0.00,c Henry b Boult,4668
Bangladesh,Tanzid Hasan,16,17,37,4,0,94.11,c Conway b Ferguson,4668
Bangladesh,Mehidy Hasan Miraz,30,46,52,4,0,65.21,c Henry b Ferguson,4668
Bangladesh,Najmul Hossain Shanto,7,8,20,1,0,87.50,c Conway b Phillips,4668
Bangladesh,Shakib Al Hasan,40,51,75,3,2,78.43,c †Latham b Ferguson,4668
Bangladesh,Mushfiqur Rahim,66,75,93,6,2,88.00, b Henry,4668
Bangladesh,Towhid Hridoy,13,25,30,0,0,52.00,c Santner b Boult,4668
Bangladesh,Mahmudullah,41,49,58,2,2,83.67,null,4668
Bangladesh,Taskin Ahmed,17,19,25,0,2,89.47,c Mitchell b Santner,4668
Bangladesh,Mustafizur Rahman,4,10,14,0,0,40.00,c †Latham b Henry,4668
Bangladesh,Shoriful Islam,2,3,9,0,0,66.66,null,4668
New Zealand,Devon Conway,45,59,91,3,0,76.27,lbw b Shakib Al Hasan,4668
New Zealand,Rachin Ravindra,9,13,12,2,0,69.23,c †Mushfiqur Rahim b Mustafizur Rahman,4668
New Zealand,Kane Williamson,78,107,158,8,1,72.89,null,4668
New Zealand,Daryl Mitchell,89,67,103,6,4,132.83,null,4668
New Zealand,Glenn Phillips,16,11,22,1,1,145.45,null,4668
South Africa,Quinton de Kock,109,106,147,8,5,102.83, b Maxwell,4667
South Africa,Temba Bavuma,35,55,84,2,0,63.63,c Warner b Maxwell,4667
South Africa,Rassie van der Dussen,26,30,33,2,0,86.66,c sub (SA Abbott) b Zampa,4667
South Africa,Aiden Markram,56,44,61,7,1,127.27,c Hazlewood b Cummins,4667
South Africa,Heinrich Klaasen,29,27,40,3,0,107.40,c †Inglis b Hazlewood,4667
South Africa,David Miller,17,13,35,1,1,130.76, b Starc,4667
South Africa,Marco Jansen,26,22,25,3,1,118.18,c Warner b Starc,4667
South Africa,Kagiso Rabada,0,1,4,0,0,0.00,null,4667
South Africa,Keshav Maharaj,0,2,1,0,0,0.00,null,4667
Australia,Mitchell Marsh,7,15,27,0,0,46.66,c Bavuma b Jansen,4667
Australia,David Warner,13,27,33,2,0,48.14,c van der Dussen b Ngidi,4667
Australia,Steven Smith,19,16,20,4,0,118.75,lbw b Rabada,4667
Australia,Marnus Labuschagne,46,74,125,3,0,62.16,c Bavuma b Maharaj,4667
Australia,Josh Inglis,5,4,5,1,0,125.00, b Rabada,4667
Australia,Glenn Maxwell,3,17,17,0,0,17.64,c & b Maharaj,4667
Australia,Marcus Stoinis,5,4,6,1,0,125.00,c †de Kock b Rabada,4667
Australia,Mitchell Starc,27,51,69,3,0,52.94,c †de Kock b Jansen,4667
Australia,Pat Cummins,22,21,29,4,0,104.76,c Miller b Shamsi,4667
Australia,Adam Zampa,11,16,25,1,0,68.75,null,4667
Australia,Josh Hazlewood,2,2,1,0,0,100.00,c Rabada b Shamsi,4667
Afghanistan,Rahmanullah Gurbaz,21,28,65,3,1,75.00,c Thakur b Pandya,4666
Afghanistan,Ibrahim Zadran,22,28,31,4,0,78.57,c †Rahul b Bumrah,4666
Afghanistan,Rahmat Shah,16,22,37,3,0,72.72,lbw b Thakur,4666
Afghanistan,Hashmatullah Shahidi,80,88,128,8,1,90.90,lbw b Kuldeep Yadav,4666
