innings,Batsman,Runs,Balls,Minutes,fours,sixes,SR,out,id
Afghanistan,Mohammad Nabi,6,12,19,0,0,50.00, b Taskin Ahmed,4660
Afghanistan,Azmatullah Omarzai,22,20,32,4,0,110.00, b Shoriful Islam,4660
Afghanistan,Rashid Khan,9,16,16,1,0,56.25, b Mehidy Hasan Miraz,4660
Afghanistan,Mujeeb Ur Rahman,1,4,9,0,0,25.00, b Mehidy Hasan Miraz,4660
Afghanistan,Naveen-ul-Haq,0,6,8,0,0,0.00,c Towhid Hridoy b Shoriful Islam,4660
Afghanistan,Fazalhaq Farooqi,0,3,3,0,0,0.00,null,4660
Bangladesh,Tanzid Hasan,5,13,19,1,0,38.46,run out (Najibullah Zadran),4660
Bangladesh,Litton Das,13,18,29,2,0,72.22, b Fazalhaq Farooqi,4660
Bangladesh,Mehidy Hasan Miraz,57,73,89,5,0,78.08,c Rahmat Shah b Naveen-ul-Haq,4660
Bangladesh,Najmul Hossain Shanto,59,83,112,3,1,71.08,null,4660
Bangladesh,Shakib Al Hasan,14,19,24,2,0,73.68,c Fazalhaq Farooqi b Azmatullah Omarzai,4660
Bangladesh,Mushfiqur Rahim,2,3,6,0,0,66.66,null,4660
Pakistan,Fakhar Zaman,12,15,14,3,0,80.00,c & b van Beek,4659
Pakistan,Imam-ul-Haq,15,19,40,2,0,78.94,c Dutt b van Meekeren,4659
Pakistan,Babar Azam,5,18,20,0,0,27.77,c Saqib Zulfiqar b Ackermann,4659
Pakistan,Mohammad Rizwan,68,75,104,8,0,90.66, b de Leede,4659
Pakistan,Saud Shakeel,68,52,84,9,1,130.76,c Saqib Zulfiqar b Dutt,4659
Pakistan,Iftikhar Ahmed,9,11,22,1,0,81.81,c †Edwards b de Leede,4659
Pakistan,Mohammad Nawaz,39,43,66,4,0,90.69,run out (van Meekeren/Ackermann),4659
Pakistan,Shadab Khan,32,34,42,2,1,94.11, b de Leede,4659
Pakistan,Hasan Ali,0,1,2,0,0,0.00,lbw b de Leede,4659
Pakistan,Shaheen Shah Afridi,13,12,23,2,0,108.33,null,4659
Pakistan,Haris Rauf,16,14,10,2,1,114.28,st †Edwards b Ackermann,4659
Netherlands,Vikramjit Singh,52,67,97,4,1,77.61,c Fakhar Zaman b Shadab Khan,4659
Netherlands,Max O'Dowd,5,12,24,1,0,41.66,c Shaheen Shah Afridi b Hasan Ali,4659
Netherlands,Colin Ackermann,17,21,24,3,0,80.95, b Iftikhar Ahmed,4659
Netherlands,Bas de Leede,67,68,92,6,2,98.52, b Mohammad Nawaz,4659
Netherlands,Teja Nidamanuru,5,9,10,1,0,55.55,c Fakhar Zaman b Haris Rauf,4659
Netherlands,Scott Edwards,0,2,2,0,0,0.00,lbw b Haris Rauf,4659
Netherlands,Saqib Zulfiqar,10,18,24,1,0,55.55,lbw b Shaheen Shah Afridi,4659
Netherlands,Roelof van der Merwe,4,7,18,0,0,57.14,run out (Babar Azam/†Mohammad Rizwan),4659
Netherlands,Logan van Beek,28,28,36,3,1,100.00,null,4659
Netherlands,Aryan Dutt,1,2,6,0,0,50.00, b Hasan Ali,4659
Netherlands,Paul van Meekeren,7,12,17,1,0,58.33, b Haris Rauf,4659
England,Jonny Bairstow,33,35,57,4,1,94.28,c Mitchell b Santner,4658
England,Dawid Malan,14,24,36,2,0,58.33,c †Latham b Henry,4658
England,Joe Root,77,86,140,4,1,89.53, b Phillips,4658
England,Harry Brook,25,16,20,4,1,156.25,c Conway b Ravindra,4658
England,Moeen Ali,11,17,20,1,0,64.70, b Phillips,4658
England,Jos Buttler,43,42,48,2,2,102.38,c †Latham b Henry,4658
England,Liam Livingstone,20,22,23,3,0,90.90,c Henry b Boult,4658
England,Sam Curran,14,19,30,0,0,73.68,c †Latham b Henry,4658
England,Chris Woakes,11,12,15,1,0,91.66,c Young b Santner,4658
England,Adil Rashid,15,13,23,0,1,115.38,null,4658
England,Mark Wood,13,14,19,0,0,92.85,null,4658
New Zealand,Devon Conway,152,121,147,19,3,125.61,null,4658
New Zealand,Will Young,0,1,5,0,0,0.00,c †Buttler b Curran,4658
New Zealand,Rachin Ravindra,123,96,141,11,5,128.12,null,4658
