Player,Country,Role,Span,Mat,Inns,Balls,Mdns,Runs,Wkts,BBI,Ave,Econ,SR,5,10,Ct,St
James Neesham,New Zealand,Batting Allrounder,2023-2023,3,3,87,-,157,2,1/32,78.50,10.82,43.5,-,-,1,-
Lungi Ngidi,South Africa,Bowler,2023-2023,8,8,363,6,355,10,2/26,35.50,5.86,36.3,-,-,1,-
Teja Nidamanuru,Netherlands,Allrounder,2023-2023,7,-,0,-,-,-,-,-,-,-,-,-,2,-
Pathum Nissanka,Sri Lanka,Top order Batter,2023-2023,9,-,0,-,-,-,-,-,-,-,-,-,2,-
Noor Ahmad,Afghanistan,Bowler,2023-2023,4,4,228,1,182,5,3/49,36.40,4.78,45.6,-,-,-,-
Max O'Dowd,Netherlands,Opening Batter,2023-2023,9,-,0,-,-,-,-,-,-,-,-,-,-,-
Hardik Pandya,India,Allrounder,2023-2023,4,4,99,-,113,5,2/34,22.60,6.84,19.8,-,-,1,-
Matheesha Pathirana,Sri Lanka,Bowler,2023-2023,2,2,114,-,185,2,1/90,92.50,9.73,57.0,-,-,-,-
Kusal Perera,Sri Lanka,Wicketkeeper Batter,2023-2023,7,-,0,-,-,-,-,-,-,-,-,-,3,-
Andile Phehlukwayo,South Africa,Bowling Allrounder,2023-2023,1,1,42,-,36,1,1/36,36.00,5.14,42.0,-,-,-,-
Glenn Phillips,New Zealand,Allrounder,2023-2023,10,10,240,1,233,6,3/37,38.83,5.82,40.0,-,-,5,-
Kagiso Rabada,South Africa,Bowler,2023-2023,9,9,437,7,364,13,3/33,28.00,4.99,33.6,-,-,4,-
Rahmanullah Gurbaz,Afghanistan,Wicketkeeper Batter,2023-2023,9,-,0,-,-,-,-,-,-,-,-,-,2,-
Rahmat Shah,Afghanistan,Allrounder,2023-2023,9,1,6,-,12,-,-,-,12.00,-,-,-,2,-
KL Rahul,India,Wicketkeeper Batter,2023-2023,11,-,0,-,-,-,-,-,-,-,-,-,16,1
Kasun Rajitha,Sri Lanka,Bowler,2023-2023,6,6,294,1,336,8,4/50,42.00,6.85,36.7,-,-,1,-
Adil Rashid,England,Bowler,2023-2023,9,9,478,1,413,15,3/42,27.53,5.18,31.8,-,-,3,-
Rashid Khan,Afghanistan,Bowling Allrounder,2023-2023,9,9,519,2,388,11,3/37,35.27,4.48,47.1,-,-,3,-
Rachin Ravindra,New Zealand,Batting Allrounder,2023-2023,10,9,394,-,393,5,2/21,78.60,5.98,78.8,-,-,3,-
Joe Root,England,Top order Batter,2023-2023,9,2,61,-,67,1,1/19,67.00,6.59,61.0,-,-,5,-
Sadeera Samarawickrama,Sri Lanka,Wicketkeeper Batter,2023-2023,9,-,0,-,-,-,-,-,-,-,-,-,3,-
Mitchell Santner,New Zealand,Bowling Allrounder,2023-2023,10,10,556,4,449,16,5/59,28.06,4.84,34.7,1,-,5,-
Saqib Zulfiqar,Netherlands,Bowling Allrounder,2023-2023,2,2,30,-,40,1,1/25,40.00,8.00,30.0,-,-,3,-
Saud Shakeel,Pakistan,Middle order Batter,2023-2023,9,-,0,-,-,-,-,-,-,-,-,-,3,-
Shadab Khan,Pakistan,Allrounder,2023-2023,6,5,228,-,237,2,1/45,118.50,6.23,114.0,-,-,2,-
Shaheen Shah Afridi,Pakistan,Bowler,2023-2023,9,9,486,3,481,18,5/54,26.72,5.93,27.0,1,-,3,-
Tabraiz Shamsi,South Africa,Bowler,2023-2023,4,4,227,-,212,9,4/60,23.55,5.60,25.2,-,-,-,-
Dasun Shanaka,Sri Lanka,Allrounder,2023-2023,2,2,66,-,64,-,-,-,5.81,-,-,-,1,-
Shakib Al Hasan,Bangladesh,Allrounder,2023-2023,7,7,375,1,329,9,3/30,36.55,5.26,41.6,-,-,2,-
Shariz Ahmad,Netherlands,Bowler,2023-2023,1,1,12,-,13,-,-,-,6.50,-,-,-,-,-
Rohit Sharma,India,Top order Batter,2023-2023,11,1,5,-,7,1,1/7,7.00,8.40,5.0,-,-,2,-
Shoriful Islam,Bangladesh,Bowler,2023-2023,8,8,388,3,409,10,3/75,40.90,6.32,38.8,-,-,1,-
Shubman Gill,India,Opening Batter,2023-2023,9,1,12,-,11,-,-,-,5.50,-,-,-,6,-
Steven Smith,Australia,Top order Batter,2023-2023,10,-,0,-,-,-,-,-,-,-,-,-,2,-
Ish Sodhi,New Zealand,Bowler,2023-2023,1,1,24,-,44,-,-,-,11.00,-,-,-,-,-
Tim Southee,New Zealand,Bowler,2023-2023,4,4,198,-,256,7,3/100,36.57,7.75,28.2,-,-,-,-
