Player,Country,Span,Mat,Inns,NO,Runs,HS,Ave,SR,100,50,0
Tabraiz Shamsi,South Africa,2023-2023,4,3,3,9,4*,-,60.00,-,-,-
Dasun Shanaka,Sri Lanka,2023-2023,2,2,0,80,68,40.00,100.00,-,1,-
Shakib Al Hasan,Bangladesh,2023-2023,7,7,0,186,82,26.57,82.30,-,1,-
Shariz Ahmad,Netherlands,2023-2023,1,1,0,6,6,6.00,75.00,-,-,-
Rohit Sharma,India,2023-2023,11,11,0,597,131,54.27,125.94,1,3,1
Shoriful Islam,Bangladesh,2023-2023,8,6,5,28,12,28.00,100.00,-,-,-
Shubman Gill,India,2023-2023,9,9,1,354,92,44.25,106.94,-,4,-
Steven Smith,Australia,2023-2023,10,10,1,302,71,33.55,80.96,-,2,1
Ish Sodhi,New Zealand,2023-2023,1,-,0,-,-,-,0.00,-,-,-
Tim Southee,New Zealand,2023-2023,4,2,0,16,9,8.00,76.19,-,-,-
Mitchell Starc,Australia,2023-2023,10,8,1,87,28,12.42,57.61,-,-,1
Marcus Stoinis,Australia,2023-2023,6,5,1,87,35,21.75,112.98,-,-,-
Ben Stokes,England,2023-2023,6,6,0,304,108,50.66,89.14,1,2,1
Tanzid Hasan,Bangladesh,2023-2023,9,9,0,145,51,16.11,95.39,-,1,1
Tanzim Hasan Sakib,Bangladesh,2023-2023,1,1,1,5,5*,-,83.33,-,-,-
Taskin Ahmed,Bangladesh,2023-2023,7,5,1,49,17,12.25,52.68,-,-,-
Shardul Thakur,India,2023-2023,3,-,0,-,-,-,0.00,-,-,-
Maheesh Theekshana,Sri Lanka,2023-2023,8,6,2,100,38*,25.00,54.05,-,-,2
Reece Topley,England,2023-2023,3,2,2,16,15*,-,177.77,-,-,-
Towhid Hridoy,Bangladesh,2023-2023,7,6,1,164,74,32.80,78.09,-,1,-
Usama Mir,Pakistan,2023-2023,4,1,0,-,0,0.00,0.00,-,-,1
Logan van Beek,Netherlands,2023-2023,8,8,2,140,59,23.33,78.21,-,1,1
Rassie van der Dussen,South Africa,2023-2023,10,10,1,448,133,49.77,84.52,2,2,-
Roelof van der Merwe,Netherlands,2023-2023,8,8,0,68,29,8.50,80.00,-,-,2
Paul van Meekeren,Netherlands,2023-2023,9,8,2,26,7,4.33,48.14,-,-,2
Vikramjit Singh,Netherlands,2023-2023,6,6,0,98,52,16.33,65.33,-,1,-
David Warner,Australia,2023-2023,11,11,0,535,163,48.63,108.29,2,2,-
Dunith Wellalage,Sri Lanka,2023-2023,3,3,0,12,10,4.00,66.66,-,-,1
David Willey,England,2023-2023,6,6,2,78,16*,19.50,116.41,-,-,-
Lizaad Williams,South Africa,2023-2023,1,-,0,-,-,-,0.00,-,-,-
Kane Williamson,New Zealand,2023-2023,4,4,1,256,95,85.33,93.43,-,3,-
Chris Woakes,England,2023-2023,8,8,1,131,51,18.71,84.51,-,1,1
Mark Wood,England,2023-2023,7,7,4,85,43*,28.33,130.76,-,-,1
Suryakumar Yadav,India,2023-2023,7,7,1,106,49,17.66,100.95,-,-,-
Will Young,New Zealand,2023-2023,6,6,0,206,70,34.33,83.73,-,2,1
Adam Zampa,Australia,2023-2023,11,6,3,48,29,16.00,80.00,-,-,1
